CODE,SEX,ZEITRAUM,ALTERVON,ALTERBIS,NORMVON,NORMBIS
NH3,AL,Jahr,1,120,27,90
LDL,AL,Jahr,0,14,50,140
LDL,AL,Jahr,15,123,70,155
LDLS,AL,Jahr,15,123,0,150
LDLS,AL,Jahr,0,14,0,130
LPA,AL,Jahr,0,123,0,75
SPS,AL,Jahr,1,13,8,30
SPS,AL,Jahr,14,123,3,13
ALSR,AL,Jahr,16,123,60,72
A1SR,AL,Jahr,16,123,1,"3,2"
A2SR,AL,Jahr,16,123,"7,4","12,6"
BSR,AL,Jahr,16,123,"7,5",13
GSR,AL,Jahr,16,123,8,16
ALSA,AL,Jahr,15,123,35,50
A1SA,AL,Jahr,15,123,"1,5",4
A2SA,AL,Jahr,15,123,"5,5","9,5"
BSA,AL,Jahr,15,123,6,"11,5"
GSA,AL,Jahr,1,6,"4,5",12
GSA,AL,Jahr,7,14,6,14
GSA,AL,Jahr,15,123,6,15
B2SR,AL,Jahr,0,123,7,13
USPG,AL,Jahr,0,120,1016,1022
UPH,AL,Jahr,0,123,5,7
ULEU,AL,Jahr,0,123,0,10
UHB,AL,Jahr,0,123,0,3
UEIW,AL,Jahr,0,123,0,"0,1"
UGLU,AL,Jahr,0,123,0,"0,15"
UKET,AL,Jahr,0,123,0,5
UUBG,AL,Jahr,0,123,0,10
UBIL,AL,Jahr,0,123,0,"0,2"
ERYS,AL,Jahr,0,123,0,1
LEUS,AL,Jahr,0,123,0,4
DROG,AL,Jahr,0,123,1,2
ERYK,AL,Jahr,0,123,0,3
LEUK,AL,Jahr,0,123,0,10
NAUK,AL,Jahr,0,123,60,200
NAU,AL,Jahr,0,123,70,270
FENA,AL,Jahr,0,123,"0,2","0,8"
KUK,AL,Jahr,0,123,20,80
KU,AL,Jahr,0,10,8,54
KU,AL,Jahr,10,14,18,58
KU,AL,Jahr,14,123,25,125
FEK,AL,Jahr,0,123,5,17
CLUK,AL,Jahr,0,123,20,350
CLUT,AL,Jahr,0,123,100,250
CAUK,AL,Jahr,0,123,0,7
CAUA,AL,Jahr,0,123,0,"7,5"
MGU,AL,Jahr,0,123,"2,5","8,5"
OSMU,AL,Jahr,0,1,50,1000
OSMU,AL,Jahr,1,6,50,1050
OSMU,AL,Jahr,7,12,50,1400
OSMU,AL,Jahr,13,123,50,1250
TPUK,AL,Jahr,0,123,"0,01","0,14"
TPU,AL,Jahr,0,123,"0,05","0,08"
QuTPK,AL,Jahr,0,123,0,"0,2"
AKIR,AL,Jahr,0,123,0,2
AMYU,AL,Jahr,0,123,0,460
ANPU,AL,Jahr,0,123,40,140
ANPUZ,AL,Jahr,0,123,40,140
CUU,AL,Jahr,0,99,10,60
ALBU,AL,Jahr,0,123,6,25
FEUA,AL,Jahr,0,123,0,100
HSUK,AL,Jahr,0,123,37,92
HSU,AL,Jahr,0,123,"0,1","0,8"
HTUK,AL,Jahr,0,123,12,20
HSTU,AL,Jahr,0,123,20,35
FEHST,AL,Jahr,0,123,50,65
CKRE,AL,Jahr,0,1,40,108
CKRE,AL,Jahr,1,14,120,145
CKRE,M,Jahr,14,123,80,160
CKRE,W,Jahr,14,123,75,130
KRUK,AL,Jahr,0,123,"0,6","1,8"
KREU,AL,Jahr,0,14,0,2
KREU,M,Jahr,14,123,"0,7",2
KREU,W,Jahr,14,123,"0,5","1,8"
